2025-02-18 16:22:26,165 - detector_fadiga - INFO - Sistema de logging inicializado
2025-02-18 16:22:26,326 - detector_fadiga - ERROR - Erro ao inicializar alertas sonoros: No file 'sounds/alert.mp3' found in working directory 'C:\Users\Lucas Neves\Documents\DOCUMENTOSDIVERSOS\DocumentosFaculdade\TCC\Driver-Drowsiness'.
2025-02-18 16:22:26,326 - detector_fadiga - INFO - MediaPipe inicializado
2025-02-18 16:22:26,327 - detector_fadiga - INFO - Novo modelo de detecção de anomalias criado
2025-02-18 16:22:26,328 - detector_fadiga - INFO - Threads secundárias iniciadas
2025-02-18 16:22:28,705 - detector_fadiga - INFO - Iniciando detector de fadiga avançado...
2025-02-18 16:22:35,266 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,299 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,331 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,363 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,396 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,445 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,476 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,505 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,538 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,570 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,603 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,636 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,666 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,699 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,731 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,777 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,810 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,846 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,878 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,909 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,938 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:35,970 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,004 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,037 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,067 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,100 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,146 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,179 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,212 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,241 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,275 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,305 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,339 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,371 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,403 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,435 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,451 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,516 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,547 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
2025-02-18 16:22:36,578 - detector_fadiga - ERROR - Erro na detecção de inclinação: sequence index must be integer, not 'slice'
